,Daily.Rainfall.Total.mm,Mean.Temperature.C,Mean.Wind.Speed.kmh,year,week
0,8.765977443609023,26.267346938775514,6.951020408163265,2014,1
1,1.1215037593984962,26.600340136054424,8.315646258503401,2014,2
2,0.015714285714285712,25.897959183673468,11.032653061224492,2014,3
3,0.0,25.714285714285715,10.851020408163265,2014,4
4,0.0014285714285714286,26.140816326530608,9.983673469387755,2014,5
5,0.8685714285714285,26.922448979591838,8.63469387755102,2014,6
6,1.2421428571428572,27.485714285714288,10.985714285714286,2014,7
7,0.0,27.312244897959186,11.33673469387755,2014,8
8,0.0,27.439880952380953,11.153571428571428,2014,9
9,0.04625850340136055,27.622448979591837,9.206122448979594,2014,10
10,0.039455782312925174,28.03877551020408,10.397959183673468,2014,11
11,14.735952380952382,26.653741496598638,6.167687074829932,2014,12
12,0.5575510204081632,28.309523809523814,8.123809523809523,2014,13
13,6.811666666666667,28.254761904761903,5.8166666666666655,2014,14
14,3.656056808688388,27.88809523809524,5.877210884353741,2014,15
15,8.955806182121972,28.24285714285714,5.595918367346939,2014,16
16,8.18421052631579,27.90408163265306,5.316326530612244,2014,17
17,4.364342105263158,28.578571428571433,5.604761904761904,2014,18
18,10.103721804511279,28.612244897959187,5.838775510204082,2014,19
19,7.235902255639098,28.81428571428572,6.095918367346939,2014,20
20,16.111428571428572,27.60816326530612,5.8244897959183675,2014,21
21,3.6285714285714286,28.461224489795914,6.0836734693877546,2014,22
22,8.460000000000003,28.167346938775502,6.622448979591837,2014,23
23,2.3699999999999997,29.49591836734694,7.302040816326531,2014,24
24,4.554285714285714,29.37755102040816,7.940816326530613,2014,25
25,5.046766917293233,29.330612244897956,7.479591836734694,2014,26
26,11.31578947368421,28.28095238095238,6.261904761904762,2014,27
27,11.31578947368421,28.28095238095238,6.261904761904762,2014,28
28,11.31578947368421,28.28095238095238,6.261904761904762,2014,29
29,11.31578947368421,28.28095238095238,6.261904761904762,2014,30
30,11.31578947368421,28.28095238095238,6.261904761904762,2014,31
31,6.938345864661655,28.028571428571432,7.963265306122447,2014,32
32,4.29624060150376,27.4734693877551,7.40612244897959,2014,33
33,7.702240896358544,27.747142857142855,7.25095238095238,2014,34
34,10.817460317460318,27.13809523809524,6.5,2014,35
35,9.231652661064427,27.7,6.521428571428572,2014,36
36,3.9015873015873015,28.066666666666663,7.573809523809524,2014,37
37,0.37936507936507935,28.902380952380952,9.154761904761903,2014,38
38,9.46890756302521,28.18095238095238,7.969047619047619,2014,39
39,0.06862745098039215,28.980555555555554,7.199999999999999,2014,40
40,3.828571428571429,28.49285714285714,8.142857142857142,2014,41
41,2.147899159663865,28.735714285714284,6.273809523809525,2014,42
42,7.651629072681705,27.426870748299326,5.20986394557823,2014,43
43,2.4526315789473685,28.655102040816328,5.979591836734694,2014,44
44,4.406015037593986,28.689795918367345,5.955102040816327,2014,45
45,16.153299916457808,26.88367346938776,5.646938775510203,2014,46
46,7.464745196324143,26.748979591836733,5.542857142857143,2014,47
47,14.001587301587298,27.287755102040816,4.93265306122449,2014,48
48,4.263011695906432,27.299999999999997,5.257142857142857,2014,49
49,11.715966386554625,27.334693877551018,6.046938775510204,2014,50
50,5.707356626861269,27.706122448979592,7.197959183673469,2014,51
51,16.01629072681704,26.44081632653061,5.963265306122449,2014,52
52,14.193609022556387,25.924489795918365,6.669387755102041,2015,1
53,4.374185463659148,26.8530612244898,8.246938775510204,2015,2
54,5.0436090225563905,26.3530612244898,8.046938775510203,2015,3
55,0.003007518796992481,26.93673469387755,10.853061224489796,2015,4
56,2.760902255639098,26.70816326530612,10.410204081632656,2015,5
57,0.5834586466165413,26.56326530612245,9.29387755102041,2015,6
58,2.2,26.27142857142857,11.478571428571428,2015,7
59,0.004511278195488723,26.844897959183672,10.348571428571427,2015,8
60,3.97593984962406,27.159183673469386,9.714285714285714,2015,9
61,1.1643274853801169,27.653571428571425,9.771428571428572,2015,10
62,2.163993316624896,27.891836734693875,8.314285714285715,2015,11
63,5.718880534670008,27.334693877551018,8.218367346938775,2015,12
64,2.9248120300751883,28.02040816326531,7.655102040816326,2015,13
65,6.350960735171262,28.251020408163264,9.197959183673472,2015,14
66,11.662406015037595,27.49795918367347,5.938775510204082,2015,15
67,3.7661654135338347,28.534693877551017,7.03469387755102,2015,16
68,2.5120300751879694,28.920408163265307,7.5816326530612255,2015,17
69,9.126315789473685,27.906122448979595,5.573469387755102,2015,18
70,11.221637426900585,27.679761904761904,5.113492063492064,2015,19
71,12.534080298786181,28.147619047619052,6.197619047619047,2015,20
72,5.87077497665733,28.940476190476193,7.5857142857142845,2015,21
73,7.422875816993465,28.754761904761903,6.911904761904762,2015,22
